"id","ip_src","ip_dst","id_pac","a_return_rec","flags_authenticated","flags_authoritative","flags_opcode","flags_rcode","flags_recavail","flags_recdesired","flags_response","flags_truncated","flags_z","qry_class","qry_name","qry_type","resp_class","resp_ttl","resp_type","response_to","time","count_add_rr","count_answers","count_auth_rr","count_labels","count_queries","date_added"
34,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
35,"192.168.212.129","192.168.212.2","0x00000ebc",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
36,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
37,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
38,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
39,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
40,"192.168.212.129","192.168.212.2","0x00000ebc",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
41,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
42,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
43,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
44,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
45,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
46,"192.168.212.129","192.168.212.2","0x00000ebc",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
47,"192.168.212.129","192.168.212.2","0x00006095",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","mgei.ru","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
48,"192.168.212.129","192.168.212.2","0x0000b3e4",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","mgei.ru","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
49,"192.168.212.2","192.168.212.129","0x00006095","176.57.210.2","0","0","0","0","1","1","1","0","0","0x00000001","mgei.ru","1","0x00000001","5","1","117",NULL,"0","1","0","2","1","2023-03-04"
50,"192.168.212.2","192.168.212.129","0x0000b3e4","","0","0","0","0","1","1","1","0","0","0x00000001","mgei.ru","28","0x00000001","5","6","118",NULL,"0","0","1","2","1","2023-03-04"
51,"192.168.212.129","192.168.212.2","0x0000298c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","2.210.57.176.in-addr.arpa","12",NULL,NULL,NULL,NULL,NULL,"0","0","0","6","1","2023-03-04"
52,"192.168.212.2","192.168.212.129","0x0000298c","","0","0","0","0","1","1","1","0","0","0x00000001","2.210.57.176.in-addr.arpa","12","0x00000001","5","12","123",NULL,"0","1","0","6","1","2023-03-04"
53,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
54,"192.168.212.129","192.168.212.2","0x00000ebc",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
55,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
56,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
57,"192.168.212.129","192.168.212.2","0x0000e225",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","connectivity-check.ubuntu.com","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
58,"192.168.212.2","192.168.212.129","0x0000e225","","0","0","0","0","1","1","1","0","0","0x00000001","connectivity-check.ubuntu.com","28","0x00000001","5","28","141",NULL,"0","6","0","3","1","2023-03-04"
59,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
60,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
61,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
62,"192.168.212.129","192.168.212.2","0x00000ebc",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
63,"192.168.212.129","192.168.212.2","0x00006dc7",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fabric.ua","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
64,"192.168.212.129","192.168.212.2","0x000045aa",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fabric.ua","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
65,"192.168.212.2","192.168.212.129","0x00006dc7","","0","0","0","3","1","1","1","0","0","0x00000001","fabric.ua","1","0x00000001","5","6","154",NULL,"0","0","1","2","1","2023-03-04"
66,"192.168.212.2","192.168.212.129","0x000045aa","","0","0","0","3","1","1","1","0","0","0x00000001","fabric.ua","28","0x00000001","5","6","155",NULL,"0","0","1","2","1","2023-03-04"
67,"192.168.212.129","192.168.212.2","0x0000fec4",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fabric.ua.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
68,"192.168.212.129","192.168.212.2","0x00004fb3",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fabric.ua.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
69,"192.168.212.2","192.168.212.129","0x0000fec4","","0","1","0","3","0","0","1","0","0","0x00000001","fabric.ua.localdomain","1","","","","158",NULL,"0","0","0","3","1","2023-03-04"
70,"192.168.212.2","192.168.212.129","0x00004fb3","","0","1","0","3","0","0","1","0","0","0x00000001","fabric.ua.localdomain","28","","","","159",NULL,"0","0","0","3","1","2023-03-04"
